Start:18:29 09-12
Header Write:18:29 09-12
Coord-Write:18:32 09-12 Lat:42.692924425 Long:23.345124092
Loop:18:32:43 09-12 Lat:42.692924425 Long:23.345124092
Coord-Write:18:32 09-12 Lat:42.692943379 Long:23.345035999
Loop:18:32:45 09-12 Lat:42.692943379 Long:23.345035999
Coord-Write:18:32 09-12 Lat:42.692942612 Long:23.345008758
Loop:18:32:47 09-12 Lat:42.692942612 Long:23.345008758
Coord-Write:18:32 09-12 Lat:42.69291664 Long:23.344944604
Loop:18:32:49 09-12 Lat:42.69291664 Long:23.344944604
Coord-Write:18:32 09-12 Lat:42.692904018 Long:23.344787523
Loop:18:32:51 09-12 Lat:42.692904018 Long:23.344787523
Coord-Write:18:32 09-12 Lat:42.692899418 Long:23.344624073
Loop:18:32:53 09-12 Lat:42.692899418 Long:23.344624073
Coord-Write:18:32 09-12 Lat:42.692887317 Long:23.34452631
Loop:18:32:55 09-12 Lat:42.692887317 Long:23.34452631
Coord-Write:18:32 09-12 Lat:42.692744703 Long:23.343987612
Loop:18:32:57 09-12 Lat:42.692744703 Long:23.343987612
Coord-Write:18:32 09-12 Lat:42.692575996 Long:23.343477691
Loop:18:32:59 09-12 Lat:42.692575996 Long:23.343477691
Coord-Write:18:32 09-12 Lat:42.692496542 Long:23.34323075
Loop:18:33:01 09-12 Lat:42.692496542 Long:23.34323075
Coord-Write:18:33 09-12 Lat:42.692314962 Long:23.342595831
Loop:18:33:03 09-12 Lat:42.692314962 Long:23.342595831
Loop:18:33:05 09-12 Lat:42.692314962 Long:23.342595831
Coord-Write:18:33 09-12 Lat:42.692167374 Long:23.342018698
Loop:18:33:07 09-12 Lat:42.692167374 Long:23.342018698
Coord-Write:18:33 09-12 Lat:42.69204677 Long:23.341500884
Loop:18:33:09 09-12 Lat:42.69204677 Long:23.341500884
Coord-Write:18:33 09-12 Lat:42.69201797 Long:23.341295693
Loop:18:33:11 09-12 Lat:42.69201797 Long:23.341295693
Coord-Write:18:33 09-12 Lat:42.691927175 Long:23.340978239
Loop:18:33:13 09-12 Lat:42.691927175 Long:23.340978239
Coord-Write:18:33 09-12 Lat:42.691807348 Long:23.340641448
Loop:18:33:15 09-12 Lat:42.691807348 Long:23.340641448
Loop:18:33:17 09-12 Lat:42.691807348 Long:23.340641448
Loop:18:33:19 09-12 Lat:42.691807348 Long:23.340641448
Coord-Write:18:33 09-12 Lat:42.691667379 Long:23.340059491
Loop:18:33:21 09-12 Lat:42.691667379 Long:23.340059491
Loop:18:33:23 09-12 Lat:42.691667379 Long:23.340059491
Loop:18:33:25 09-12 Lat:42.691667379 Long:23.340059491
Loop:18:33:27 09-12 Lat:42.691667379 Long:23.340059491
Coord-Write:18:33 09-12 Lat:42.691461944 Long:23.339257847
Loop:18:33:29 09-12 Lat:42.691461944 Long:23.339257847
Coord-Write:18:33 09-12 Lat:42.691449839 Long:23.339160088
Loop:18:33:31 09-12 Lat:42.691449839 Long:23.339160088
Coord-Write:18:33 09-12 Lat:42.69142932 Long:23.338886145
Loop:18:33:33 09-12 Lat:42.69142932 Long:23.338886145
Coord-Write:18:33 09-12 Lat:42.691411217 Long:23.338785087
Loop:18:33:35 09-12 Lat:42.691411217 Long:23.338785087
Coord-Write:18:33 09-12 Lat:42.691318239 Long:23.338630857
Loop:18:33:38 09-12 Lat:42.691318239 Long:23.338630857
Coord-Write:18:33 09-12 Lat:42.691287428 Long:23.338589115
Loop:18:33:40 09-12 Lat:42.691287428 Long:23.338589115
Coord-Write:18:33 09-12 Lat:42.691265012 Long:23.338569779
Loop:18:33:42 09-12 Lat:42.691265012 Long:23.338569779
Coord-Write:18:33 09-12 Lat:42.691233414 Long:23.338531108
Loop:18:33:44 09-12 Lat:42.691233414 Long:23.338531108
Coord-Write:18:33 09-12 Lat:42.691222057 Long:23.338490902
Loop:18:33:46 09-12 Lat:42.691222057 Long:23.338490902
Coord-Write:18:33 09-12 Lat:42.691200654 Long:23.338466733
Loop:18:33:48 09-12 Lat:42.691200654 Long:23.338466733
Coord-Write:18:33 09-12 Lat:42.691190852 Long:23.338450696
Loop:18:33:50 09-12 Lat:42.691190852 Long:23.338450696
Loop:18:33:52 09-12 Lat:42.691190852 Long:23.338450696
Loop:18:33:54 09-12 Lat:42.691190852 Long:23.338450696
Loop:18:33:56 09-12 Lat:42.691190852 Long:23.338450696
Coord-Write:18:33 09-12 Lat:42.691236059 Long:23.338334055
Loop:18:33:58 09-12 Lat:42.691236059 Long:23.338334055
Coord-Write:18:33 09-12 Lat:42.691248916 Long:23.338305279
Loop:18:34:00 09-12 Lat:42.691248916 Long:23.338305279
Coord-Write:18:34 09-12 Lat:42.69120358 Long:23.338176982
Loop:18:34:02 09-12 Lat:42.69120358 Long:23.338176982
Coord-Write:18:34 09-12 Lat:42.691032671 Long:23.338109535
Loop:18:34:04 09-12 Lat:42.691032671 Long:23.338109535
Coord-Write:18:34 09-12 Lat:42.690912027 Long:23.338085366
Loop:18:34:06 09-12 Lat:42.690912027 Long:23.338085366
Coord-Write:18:34 09-12 Lat:42.690866971 Long:23.338048459
Loop:18:34:08 09-12 Lat:42.690866971 Long:23.338048459
Coord-Write:18:34 09-12 Lat:42.690824333 Long:23.338000347
Loop:18:34:10 09-12 Lat:42.690824333 Long:23.338000347
Coord-Write:18:34 09-12 Lat:42.690782576 Long:23.337886552
Loop:18:34:12 09-12 Lat:42.690782576 Long:23.337886552
Coord-Write:18:34 09-12 Lat:42.690715218 Long:23.337737385
Loop:18:34:14 09-12 Lat:42.690715218 Long:23.337737385
Coord-Write:18:34 09-12 Lat:42.690691004 Long:23.337541869
Loop:18:34:16 09-12 Lat:42.690691004 Long:23.337541869
Coord-Write:18:34 09-12 Lat:42.690659405 Long:23.337319113
Loop:18:34:18 09-12 Lat:42.690659405 Long:23.337319113
Coord-Write:18:34 09-12 Lat:42.690592926 Long:23.337104263
Loop:18:34:20 09-12 Lat:42.690592926 Long:23.337104263
Coord-Write:18:34 09-12 Lat:42.690495767 Long:23.336908523
Loop:18:34:22 09-12 Lat:42.690495767 Long:23.336908523
Coord-Write:18:34 09-12 Lat:42.690413001 Long:23.336738487
Loop:18:34:24 09-12 Lat:42.690413001 Long:23.336738487
Coord-Write:18:34 09-12 Lat:42.690340038 Long:23.336584489
Loop:18:34:26 09-12 Lat:42.690340038 Long:23.336584489
Coord-Write:18:34 09-12 Lat:42.690267599 Long:23.336489805
Loop:18:34:28 09-12 Lat:42.690267599 Long:23.336489805
Coord-Write:18:34 09-12 Lat:42.690243402 Long:23.336448065
Loop:18:34:30 09-12 Lat:42.690243402 Long:23.336448065
Coord-Write:18:34 09-12 Lat:42.690234612 Long:23.336427195
Loop:18:34:32 09-12 Lat:42.690234612 Long:23.336427195
Coord-Write:18:34 09-12 Lat:42.690188394 Long:23.336364585
Loop:18:34:34 09-12 Lat:42.690188394 Long:23.336364585
Coord-Write:18:34 09-12 Lat:42.69013556 Long:23.336301975
Loop:18:34:36 09-12 Lat:42.69013556 Long:23.336301975
Coord-Write:18:34 09-12 Lat:42.690107165 Long:23.336249031
Loop:18:34:38 09-12 Lat:42.690107165 Long:23.336249031
Coord-Write:18:34 09-12 Lat:42.690097363 Long:23.336232994
Loop:18:34:40 09-12 Lat:42.690097363 Long:23.336232994
Coord-Write:18:34 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:42 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:44 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:46 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:48 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:50 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:52 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:54 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:56 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:34:58 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:35:00 09-12 Lat:42.690094176 Long:23.336216958
Loop:18:35:02 09-12 Lat:42.690094176 Long:23.336216958
Coord-Write:18:35 09-12 Lat:42.690086155 Long:23.336223328
Loop:18:35:04 09-12 Lat:42.690086155 Long:23.336223328
Coord-Write:18:35 09-12 Lat:42.690055586 Long:23.336149515
Loop:18:35:06 09-12 Lat:42.690055586 Long:23.336149515
Coord-Write:18:35 09-12 Lat:42.690019563 Long:23.336101405
Loop:18:35:08 09-12 Lat:42.690019563 Long:23.336101405
Coord-Write:18:35 09-12 Lat:42.689973981 Long:23.336005185
Loop:18:35:10 09-12 Lat:42.689973981 Long:23.336005185
Coord-Write:18:35 09-12 Lat:42.689884355 Long:23.335867226
Loop:18:35:12 09-12 Lat:42.689884355 Long:23.335867226
Coord-Write:18:35 09-12 Lat:42.68985253 Long:23.335830319
Loop:18:35:14 09-12 Lat:42.68985253 Long:23.335830319
Coord-Write:18:35 09-12 Lat:42.689807717 Long:23.33576134
Loop:18:35:16 09-12 Lat:42.689807717 Long:23.33576134
Coord-Write:18:35 09-12 Lat:42.689755518 Long:23.335665121
Loop:18:35:18 09-12 Lat:42.689755518 Long:23.335665121
Coord-Write:18:35 09-12 Lat:42.689740112 Long:23.335644251
Loop:18:35:20 09-12 Lat:42.689740112 Long:23.335644251
Coord-Write:18:35 09-12 Lat:42.689710705 Long:23.335596142
Loop:18:35:22 09-12 Lat:42.689710705 Long:23.335596142
Coord-Write:18:35 09-12 Lat:42.689693517 Long:23.335552865
Loop:18:35:24 09-12 Lat:42.689693517 Long:23.335552865
Coord-Write:18:35 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:26 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:28 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:30 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:32 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:34 09-12 Lat:42.689689319 Long:23.335541662
Loop:18:35:36 09-12 Lat:42.689689319 Long:23.335541662
Coord-Write:18:35 09-12 Lat:42.68969734 Long:23.335535292
Loop:18:35:38 09-12 Lat:42.68969734 Long:23.335535292
Coord-Write:18:35 09-12 Lat:42.689668701 Long:23.335514422
Loop:18:35:40 09-12 Lat:42.689668701 Long:23.335514422
Coord-Write:18:35 09-12 Lat:42.689602878 Long:23.33541974
Loop:18:35:42 09-12 Lat:42.689602878 Long:23.33541974
Coord-Write:18:35 09-12 Lat:42.689577669 Long:23.335382834
Loop:18:35:44 09-12 Lat:42.689577669 Long:23.335382834
Coord-Write:18:35 09-12 Lat:42.689535273 Long:23.335302652
Loop:18:35:46 09-12 Lat:42.689535273 Long:23.335302652
Coord-Write:18:35 09-12 Lat:42.68946525 Long:23.335196767
Loop:18:35:48 09-12 Lat:42.68946525 Long:23.335196767
Coord-Write:18:35 09-12 Lat:42.689445645 Long:23.335164695
Loop:18:35:50 09-12 Lat:42.689445645 Long:23.335164695
Coord-Write:18:35 09-12 Lat:42.689416237 Long:23.335116585
Loop:18:35:52 09-12 Lat:42.689416237 Long:23.335116585
Coord-Write:18:35 09-12 Lat:42.689396632 Long:23.335084513
Loop:18:35:54 09-12 Lat:42.689396632 Long:23.335084513
Loop:18:35:56 09-12 Lat:42.689396632 Long:23.335084513
Coord-Write:18:35 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:35:58 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:00 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:02 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:04 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:06 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:08 09-12 Lat:42.689392434 Long:23.335073309
Loop:18:36:10 09-12 Lat:42.689392434 Long:23.335073309
