pkey,timestamp,lat,long,alt,speed,climb,mode,heading
99,2014-11-26 02:21:52.197109,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
100,2014-11-26 02:21:55.065473,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
101,2014-11-26 02:21:56.224186,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
102,2014-11-26 02:21:57.268521,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
103,2014-11-26 02:21:58.315607,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
104,2014-11-26 02:21:59.362249,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
105,2014-11-26 02:22:00.411983,42.69061835,23.343607425,559.56,0.0,0.0,3,0.0
106,2014-11-26 02:24:03.429394,42.690640616,23.343596222,561.303,0.092,0.085,3,0.0
107,2014-11-26 02:24:05.890320,42.690640616,23.343596222,561.303,0.129,0.121,3,63.0725
108,2014-11-26 02:25:44.867302,42.690660071,23.343597755,566.334,0.177,0.0,3,196.2714
109,2014-11-26 02:25:46.931070,42.690660071,23.343597755,566.334,0.0,0.0,3,0.0
110,2014-11-26 02:27:53.880548,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
111,2014-11-26 02:27:55.882944,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
112,2014-11-26 02:27:56.940728,42.690699148,23.343601057,566.052,0.213,-0.036,3,342.2072
113,2014-11-26 02:27:57.993247,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
114,2014-11-26 02:27:59.045842,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
115,2014-11-26 02:28:00.112514,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
116,2014-11-26 02:28:01.166140,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
117,2014-11-26 02:28:02.707455,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
118,2014-11-26 02:28:03.770141,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
119,2014-11-26 02:28:04.829434,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
120,2014-11-26 02:28:05.899212,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
121,2014-11-26 02:28:06.952227,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
122,2014-11-26 02:28:08.007756,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
123,2014-11-26 02:28:09.073846,42.690699148,23.343601057,566.052,0.12,0.036,3,106.3106
